,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30
,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS
1,-1.131186763,-0.139979242,0.174024574,0.063278641,0.086510697,0.35814472,-0.370171677,-0.338364534,0.075043259,0.27212148,0.781085586,0.362049765,-0.639348318,0.318802215,0.176824032,0.289780575
2,-0.341960102,-0.126284823,-0.841879045,0.166400215,-0.366118399,0.39989812,0.069789884,-1.01525997,0.181571637,0.314154936,0.014430552,-0.32698129,-0.687551516,0.203838622,0.183882397,0.193663791
3,0.008212303,0.314853508,-0.269807578,-0.136904604,-0.104620702,-0.1687665,0.297743017,-0.026003132,0.009923722,0.444351655,0.110142992,0.040990098,-0.244126943,-0.272234225,0.038960815,0.14920032
4,-0.058596014,-0.001993217,-0.237563129,-0.018717579,0.020617227,0.05973632,0.634511691,0.180819046,-0.24759798,-0.157141613,-0.102252459,-0.463002395,0.895313325,-0.064219277,-0.029455859,0.077011035
5,-0.563746065,-0.21441103,-0.352056924,-0.014894965,0.043850772,-0.014723491,-0.299360241,-0.337343583,-0.315364476,-0.062448406,-0.391548202,-0.068839873,-0.958349933,-0.039177946,-0.336474358,0.0672388
6,0.029939621,-0.149681549,0.53218043,0.115673775,-0.12622161,0.061427281,-0.149986533,0.206765286,-0.154434804,0.164652303,0.26307594,0.416244552,-0.736612055,0.194634769,0.169249699,-0.112272443
7,0.24954808,0.16725719,-0.238848227,0.019478986,0.173691179,-0.230654934,0.469457213,0.24819109,0.236729289,0.056811534,0.114378056,-0.28065758,0.654950427,-0.152445251,0.061993263,0.183992899
8,0.138804724,0.036148582,-0.140175242,-0.414430822,-0.107729417,-0.284414605,0.406583045,0.29159049,0.49410799,0.318895809,0.504643301,0.256383255,0.800145135,0.563535598,0.750293452,0.638266195
9,-0.186915497,0.038683085,-0.382005788,0.165724811,-0.171328504,-0.040115127,0.010238329,-0.463815925,0.303351093,0.410803102,0.261498363,0.074450675,-0.937331369,-0.062581275,0.013346656,0.146581426
